date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:49	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Oct%202024%2013:46:51%20GMT	https://bbs.super-deel.site/robots.txt		(from )
19:16:50	49733/49733	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202024%2012:34:20%20GMT	https://bbs.super-deel.site/dhan/	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/index.html	(from )
19:16:51	131442/131442	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Sep%202024%2021:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/img/favicon.png	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/img/favicon.png	(from https://bbs.super-deel.site/dhan/)
19:16:51	232874/232874	---MCZ	200	added ('OK')	text/css	date:Sun,%2006%20Oct%202024%2014:01:48%20GMT	https://bbs.super-deel.site/dhan/static/polls/css/bootstrap.min.css	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/css/bootstrap.min.css	(from https://bbs.super-deel.site/dhan/)
19:16:51	21539/21539	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2021:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/css/style.css	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/css/style.css	(from https://bbs.super-deel.site/dhan/)
19:16:52	285314/285314	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Sep%202024%2021:25:02%20GMT	https://bbs.super-deel.site/dhan/code.jquery.com/jquery-3.7.1.js	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/code.jquery.com/jquery-3.7.1.js	(from https://bbs.super-deel.site/dhan/)
19:16:53	158/158	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Sep%202024%2021:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/bars.svg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/bars.svg	(from https://bbs.super-deel.site/dhan/)
19:16:53	7091/7091	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Sep%202024%2023:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/img/logo.png	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/img/logo.png	(from https://bbs.super-deel.site/dhan/)
19:16:53	1656/1656	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2021:25:06%20GMT	https://bbs.super-deel.site/dhan/external452e452e452e452e452e452e452e452e452e.html?link=http://www.w3.org/2000/svg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/external452e452e452e452e452e452e452e452e452e452e.html	(from https://bbs.super-deel.site/dhan/)
19:16:54	48926/48926	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2021:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/img/top-bg.jpg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/img/top-bg.jpg	(from https://bbs.super-deel.site/dhan/)
19:16:54	68719/68719	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Sep%202024%2000:06:42%20GMT	https://bbs.super-deel.site/dhan/static/polls/img/banner1.jpg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/img/banner1.jpg	(from https://bbs.super-deel.site/dhan/)
19:16:54	28880/28880	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2021:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/img/banner2.jpg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/img/banner2.jpg	(from https://bbs.super-deel.site/dhan/)
19:16:54	109646/109646	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2023:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/img/banner3.jpg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/img/banner3.jpg	(from https://bbs.super-deel.site/dhan/)
19:16:56	835/835	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Sep%202024%2021:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/clock.svg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/clock.svg	(from https://bbs.super-deel.site/dhan/)
19:16:56	23451/23451	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2021:25:08%20GMT	https://bbs.super-deel.site/dhan/polls/product/2.html	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/polls/product/2.html	(from https://bbs.super-deel.site/dhan/)
19:16:58	44290/44290	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2021:25:06%20GMT	https://bbs.super-deel.site/dhan/media/polls/images/download_1FyV89M.jpg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/media/polls/images/download_1FyV89M.jpg	(from https://bbs.super-deel.site/dhan/)
19:16:58	3926/3926	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Sep%202024%2023:25:06%20GMT	https://bbs.super-deel.site/dhan/static/polls/img/SwOvZ3r.png	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/static/polls/img/SwOvZ3r.png	(from https://bbs.super-deel.site/dhan/)
19:16:58	24144/24144	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2021:25:08%20GMT	https://bbs.super-deel.site/dhan/polls/product/3.html	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/polls/product/3.html	(from https://bbs.super-deel.site/dhan/)
19:16:59	41364/41364	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2021:25:02%20GMT	https://bbs.super-deel.site/dhan/media/polls/images/1.jpg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/media/polls/images/1.jpg	(from https://bbs.super-deel.site/dhan/)
19:16:59	23768/23768	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2021:25:08%20GMT	https://bbs.super-deel.site/dhan/polls/product/4.html	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/polls/product/4.html	(from https://bbs.super-deel.site/dhan/)
19:17:00	314516/314516	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2021:25:04%20GMT	https://bbs.super-deel.site/dhan/media/polls/images/1_V2EL4rN.jpg	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/media/polls/images/1_V2EL4rN.jpg	(from https://bbs.super-deel.site/dhan/)
19:17:01	23759/23759	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2021:25:08%20GMT	https://bbs.super-deel.site/dhan/polls/product/5.html	C:/My%20Web%20Sites/mydeal/bbs.super-deel.site/dhan/polls/product/5.html	(from https://bbs.super-deel.site/dhan/)
